session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5ebf11c814d42d14e0daf10c,5ce4eea02210eb0017870791,RETURNED,04:04.4,,3017455.126,41,384,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf12010fe6eb2f1a4dc3ab,5e9025d348e80632bc95b9cf,RETURNED,04:51.4,,3017408.059,20,88,4,94,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf1230e742472dfb11806b,5dac11ae4f3f0100165adcbf,RETURNED,05:49.7,,3017349.784,21,213,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf125476e7172ed9461249,5cf031f5135ea3000126aaaa,REJECTED,06:34.8,07:55.4,80.59,22,120,4,94,34:59.8,NOCODE,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5ebf1f08e27afd2ed57851e6,5e54437310933d078c00e820,APPROVED,00:24.1,24:36.4,1452.306,21,202,0,100,36:12.3,5DFE8175,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Female,Yes,Yes
5ebf1f0871ce6a2f6b066a2f,5e71163b993a030254465888,RETURNED,00:24.2,,3014075.348,26,164,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf2187e4414a3060711a25,5e9d17f9074db22486eeccae,RETURNED,11:04.6,,3013434.94,22,90,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebf22819d92d82fad260ac8,5ea77b0161f86b151f475c8f,APPROVED,15:13.5,46:01.9,1848.387,32,139,0,100,36:13.3,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5ec14f3b8eb96302dc9003a0,59f226a9d6380600018b2923,APPROVED,55:23.7,25:32.9,1809.201,56,650,0,100,02:07.4,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5ec14f43b6b9b7558efb1eda,5eb1bfe57e59240f9097f59d,APPROVED,50:43.2,14:33.5,1430.361,19,90,1,100,02:08.4,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
