Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
526,1589575977172,15/05/2020 20:52:57,1589575977037,-4,15/05/2020 16:52:57,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,223,174,3,Screen 1,fixation,fixation,999.9599999999627,,,,0,1,0,,,,,2,Trial,,1,L,R,lip_rip_003.mp3
527,1589575977954,15/05/2020 20:52:57,1589575977909,-4,15/05/2020 16:52:57,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,269,175,1,stimulus,Zone1,content_audio,858.8449999989243,,,,0,1,0,,,,,2,Trial,,1,L,R,lot_rot_008.mp3
528,1589575978126,15/05/2020 20:52:58,1589575978034,-4,15/05/2020 16:52:58,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,269,175,2,response,Zone3,response_keyboard_single,115.91499999852385,,R,1,0,1,0,,,,,2,Trial,,1,L,R,lot_rot_008.mp3
529,1589575979079,15/05/2020 20:52:59,1589575979021,-4,15/05/2020 16:52:59,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,269,175,3,Screen 1,fixation,fixation,999.9600000000792,,,,0,1,0,,,,,2,Trial,,1,L,R,lot_rot_008.mp3
530,1589575979946,15/05/2020 20:52:59,1589575979914,-4,15/05/2020 16:52:59,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,266,176,1,stimulus,Zone1,content_audio,881.0200000007171,,,,0,1,0,,,,,2,Trial,,1,L,R,lot_rot_007.mp3
531,1589575980466,15/05/2020 20:53:00,1589575980413,-4,15/05/2020 16:53:00,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,266,176,2,response,Zone3,response_keyboard_single,490.14999999967404,,R,1,0,1,0,,,,,2,Trial,,1,L,R,lot_rot_007.mp3
532,1589575981430,15/05/2020 20:53:01,1589575981398,-4,15/05/2020 16:53:01,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,266,176,3,Screen 1,fixation,fixation,999.9599999999627,,,,0,1,0,,,,,2,Trial,,1,L,R,lot_rot_007.mp3
533,1589575982430,15/05/2020 20:53:02,1589575982398,-4,15/05/2020 16:53:02,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,191,177,1,stimulus,fixation,fixation,999.9599999999627,,,,0,1,0,,,,,2,Trial,,1,L,R,lie_rye_005.mp3
534,1589575982899,15/05/2020 20:53:02,1589575982870,-4,15/05/2020 16:53:02,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,191,177,2,response,Zone3,response_keyboard_single,463.95999999914784,,R,1,0,1,0,,,,,2,Trial,,1,L,R,lie_rye_005.mp3
535,1589575983899,15/05/2020 20:53:03,1589575983864,-4,15/05/2020 16:53:03,17840,3,task-117o,,4964964,5d58cb946c04b200161ecf9b,1408504,,complete,,5ebefd70dc3ed713ad3876f5,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 81.0.4044.138,1440x900,1354x719,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order4,Order1,191,177,3,Screen 1,fixation,fixation,999.9599999999627,,,,0,1,0,,,,,2,Trial,,1,L,R,lie_rye_005.mp3
