Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
931,1592669377427,20/06/2020 16:09:37,1592669377370,-4,20/06/2020 12:09:37,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,338,309,2,response,Zone2,response_keyboard_single,357.62500000419095,,,L,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_007.mp3
932,1592669378429,20/06/2020 16:09:38,1592669378369,-4,20/06/2020 12:09:38,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,338,309,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_007.mp3
933,1592669379448,20/06/2020 16:09:39,1592669379368,-4,20/06/2020 12:09:39,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,200,310,1,stimulus,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_atmosphere_atmosphill_010.mp3
934,1592669379729,20/06/2020 16:09:39,1592669379669,-4,20/06/2020 12:09:39,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,200,310,2,response,Zone2,response_keyboard_single,289.4300000043586,,,L,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_atmosphere_atmosphill_010.mp3
935,1592669380729,20/06/2020 16:09:40,1592669380668,-4,20/06/2020 12:09:40,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,200,310,3,Screen 1,fixation,fixation,1000.0199999999022,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_atmosphere_atmosphill_010.mp3
936,1592669381730,20/06/2020 16:09:41,1592669381668,-4,20/06/2020 12:09:41,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,337,311,1,stimulus,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_006.mp3
937,1592669382141,20/06/2020 16:09:42,1592669382086,-4,20/06/2020 12:09:42,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,337,311,2,response,Zone2,response_keyboard_single,407.1549999935087,,,L,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_006.mp3
938,1592669383141,20/06/2020 16:09:43,1592669383085,-4,20/06/2020 12:09:43,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,337,311,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_006.mp3
939,1592669383985,20/06/2020 16:09:43,1592669383926,-4,20/06/2020 12:09:43,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,226,312,1,stimulus,Zone1,content_audio,823.9900000044145,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_daffodil_daffodir_005.mp3
940,1592669384329,20/06/2020 16:09:44,1592669384277,-4,20/06/2020 12:09:44,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,226,312,2,response,Zone2,response_keyboard_single,341.8850000016391,,,L,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_daffodil_daffodir_005.mp3
