Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
116,1592673226321,20/06/2020 17:13:46,1592673226249,-5,20/06/2020 12:13:46,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,78,38,1,stimulus,Zone1,content_audio,756.6549999173731,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_juvenile_juvenire_003.mp3
117,1592673226884,20/06/2020 17:13:46,1592673226762,-5,20/06/2020 12:13:46,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,78,38,2,response,Zone2,response_keyboard_single,505.37000002805144,,,L,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_juvenile_juvenire_003.mp3
118,1592673227815,20/06/2020 17:13:47,1592673227749,-5,20/06/2020 12:13:47,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,78,38,3,Screen 1,fixation,fixation,999.9599999999919,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_juvenile_juvenire_003.mp3
119,1592673228583,20/06/2020 17:13:48,1592673228525,-5,20/06/2020 12:13:48,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,75,39,1,stimulus,Zone1,content_audio,761.2400000216439,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_juvenile_juvenire_002.mp3
120,1592673228740,20/06/2020 17:13:48,1592673228664,-5,20/06/2020 12:13:48,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,75,39,2,response,Zone2,response_keyboard_single,132.0150000974536,,,L,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_juvenile_juvenire_002.mp3
121,1592673229723,20/06/2020 17:13:49,1592673229649,-5,20/06/2020 12:13:49,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,75,39,3,Screen 1,fixation,fixation,999.960000000021,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_juvenile_juvenire_002.mp3
122,1592673230426,20/06/2020 17:13:50,1592673230359,-5,20/06/2020 12:13:50,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,24,40,1,stimulus,Zone1,content_audio,698.355000000447,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_automobeer_automobile_003.mp3
123,1592673230583,20/06/2020 17:13:50,1592673230426,-5,20/06/2020 12:13:50,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,24,40,2,response,Zone3,response_keyboard_single,59.73500001709908,,,R,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_automobeer_automobile_003.mp3
124,1592673231489,20/06/2020 17:13:51,1592673231416,-5,20/06/2020 12:13:51,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,24,40,3,Screen 1,fixation,fixation,999.9599999999919,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_automobeer_automobile_003.mp3
125,1592673232136,20/06/2020 17:13:52,1592673232054,-5,20/06/2020 12:13:52,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,146,41,1,stimulus,Zone1,content_audio,627.1600000327453,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_pocketful_pocketfur_010.mp3
126,1592673232324,20/06/2020 17:13:52,1592673232210,-5,20/06/2020 12:13:52,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,146,41,2,response,Zone3,response_keyboard_single,148.49499997217208,,,R,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_pocketful_pocketfur_010.mp3
127,1592673233263,20/06/2020 17:13:53,1592673233199,-5,20/06/2020 12:13:53,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,146,41,3,Screen 1,fixation,fixation,999.9599999999919,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_pocketful_pocketfur_010.mp3
