session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5f15b132c2211668ad8234bd,5c6ba51c8a12bb00013dd446,APPROVED,2020-07-20 14:59:00.715000,2020-07-20 15:39:35.285000,2434.57,29,190,0,100,2020-07-20 21:07:30.326000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,No,Yes
5f15b1355fd62f073c92b9b5,549ea92efdf99b4ffa5fa208,APPROVED,2020-07-20 14:59:08.982000,2020-07-20 15:37:09.012000,2280.03,34,646,5,99,2020-07-20 21:07:32.543000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5f15b1377eb01368f913a2dc,5befb6e27c387400016983bf,APPROVED,2020-07-20 15:00:04.834000,2020-07-20 15:36:04.416000,2159.582,33,644,2,100,2020-07-20 21:07:35.183000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5f15b13edceefa08445b2ef6,588e251908e6b200011a7253,APPROVED,2020-07-20 14:59:13.927000,2020-07-20 16:44:53.981000,6340.054,33,891,12,97,2020-07-20 21:07:37.681000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5f15b14a8132e12e887c6ab1,5efe85d36b4d873908aff881,APPROVED,2020-07-20 14:59:22.147000,2020-07-20 15:52:43.634000,3201.487,29,45,0,100,2020-07-20 21:07:40.343000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5f15b166ae7ad70994341086,5edc064045daa80e9984b67e,APPROVED,2020-07-20 14:59:55.205000,2020-07-20 15:38:33.388000,2318.183,20,92,2,99,2020-07-20 21:07:42.311000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5f15b168384fd20979661a18,5f0d328820782058f1578acc,APPROVED,2020-07-20 15:02:26.736000,2020-07-20 16:02:06.424000,3579.688,31,5,0,100,2020-07-20 21:07:44.287000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5f15b17a534a4309a9115eda,5e2c3fd765b67d262cdd4a10,RETURNED,2020-07-20 15:10:09.972000,,107616.523078,27,289,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f15b1814eb01c2e72a7189f,5b184a76c9d3cb00010ff605,RETURNED,2020-07-20 15:00:19.785000,,108206.71017,26,316,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f15b1873bd76c20f2e8ab72,5f0c911fc6db5763705037ef,APPROVED,2020-07-20 15:00:26.360000,2020-07-20 15:39:08.656000,2322.296,21,12,0,100,2020-07-20 21:07:46.972000,5DFE8175,United States,,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,No,Yes
5f15b19b200b7921bfc64b05,5e9aa65a9d211b140b6919f7,RETURNED,2020-07-20 15:11:00.063000,,107566.453536,21,93,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f15b1baf7fa5e07621fe4ed,56942483e0c800000c5969d0,APPROVED,2020-07-20 15:01:20.833000,2020-07-20 16:36:45.246000,5724.413,28,299,4,99,2020-07-20 21:07:49.099000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5f15b1e9b0fa8769e6ded5cb,5ea9cc7058ebeb11a12e659c,RETURNED,2020-07-20 15:12:01.502000,,107505.055411,24,151,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f15b1f91048dd0a8d2b9b7b,5b184f9768a5ed0001734190,APPROVED,2020-07-20 15:02:16.997000,2020-07-20 16:10:53.244000,4116.247,29,175,3,99,2020-07-20 21:07:52.325000,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Female,No,Yes
5f15b2046317bd20d279b51c,5f1334bb9ea4680afb069b44,RETURNED,2020-07-20 15:03:05.172000,,108041.436837,32,15,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f15b20a6175b61ff7d076e2,5eb4b5001cabb13244bd4836,APPROVED,2020-07-20 15:05:19.333000,2020-07-20 15:50:18.157000,2698.824,20,117,0,100,2020-07-20 21:07:54.581000,5DFE8175,United States,,Unemployed (and job seeking),I only know English,English,No,none,United States,Female,Yes,Yes
5f15b216099eee5a0355e27d,5cf95f714579b600167001fe,APPROVED,2020-07-20 15:03:11.095000,2020-07-20 15:40:37.885000,2246.79,20,320,0,100,2020-07-20 21:07:56.261000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5f15b2414d45f121ac1b326c,5e37f1764234ff755e6aee66,APPROVED,2020-07-20 15:03:57.271000,2020-07-20 15:43:45.077000,2387.806,25,166,0,100,2020-07-20 21:07:58.617000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5f15b247cc357e2e9fe71d74,5f11f982ac182f0fe76ef85d,APPROVED,2020-07-20 15:03:38.288000,2020-07-20 15:42:47.997000,2349.709,18,5,0,100,2020-07-20 21:08:01.006000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Female,Yes,Yes
5f15b24cbe2a120be53859b6,5f121ceb86fcde145c3ef1c8,APPROVED,2020-07-20 15:04:23.699000,2020-07-20 15:46:23.567000,2519.868,33,13,0,100,2020-07-20 21:08:03.255000,5DFE8175,United States,United States,Other,I only know English,English,No,none,United States,Female,No,Yes
5f15b2528427ec69904a8ac7,5ed6da7e2eae9413f9a96db9,APPROVED,2020-07-20 15:03:49.343000,2020-07-20 15:40:49.982000,2220.639,22,57,0,100,2020-07-20 21:08:05.945000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5f15b263b41b3b089e2824cf,5ed1247740e3ed03a7b6bff5,APPROVED,2020-07-20 15:04:36.232000,2020-07-20 15:42:20.548000,2264.316,29,110,0,100,2020-07-20 21:08:08.111000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
