Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
982,1589578114425,15/05/2020 21:28:34,1589578112890,-4,15/05/2020 17:28:32,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,410,326,2,response,Zone3,response_keyboard_single,264.4350000009872,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_006.mp3
983,1589578115424,15/05/2020 21:28:35,1589578113878,-4,15/05/2020 17:28:33,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,410,326,3,Screen 1,fixation,fixation,999.6059999999125,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_006.mp3
984,1589578116426,15/05/2020 21:28:36,1589578114878,-4,15/05/2020 17:28:34,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,342,327,1,stimulus,fixation,fixation,999.2110000000102,,,,0,1,0,,,,,3,Trial,,1,S,SH,sign_shine_008.mp3
985,1589578116570,15/05/2020 21:28:36,1589578114949,-4,15/05/2020 17:28:34,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,342,327,2,response,Zone3,response_keyboard_single,40.150000000721775,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sign_shine_008.mp3
986,1589578117488,15/05/2020 21:28:37,1589578115926,-4,15/05/2020 17:28:35,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,342,327,3,Screen 1,fixation,fixation,999.2429999999003,,,,0,1,0,,,,,3,Trial,,1,S,SH,sign_shine_008.mp3
987,1589578118458,15/05/2020 21:28:38,1589578116915,-4,15/05/2020 17:28:36,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,301,328,1,stimulus,Zone1,content_audio,946.5349999991013,,,,0,1,0,,,,,3,Trial,,1,S,SH,same_shame_006.mp3
988,1589578118598,15/05/2020 21:28:38,1589578116951,-4,15/05/2020 17:28:36,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,301,328,2,response,Zone3,response_keyboard_single,4.139999997220002,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,same_shame_006.mp3
989,1589578119442,15/05/2020 21:28:39,1589578117900,-4,15/05/2020 17:28:37,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,301,328,3,Screen 1,fixation,fixation,999.2889999999898,,,,0,1,0,,,,,3,Trial,,1,S,SH,same_shame_006.mp3
990,1589578120350,15/05/2020 21:28:40,1589578118815,-4,15/05/2020 17:28:38,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,404,329,1,stimulus,Zone1,content_audio,872.595000000787,,,,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_003.mp3
991,1589578120506,15/05/2020 21:28:40,1589578118950,-4,15/05/2020 17:28:38,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,404,329,2,response,Zone2,response_keyboard_single,104.41999999969266,,S,1,0,1,0,,,,,3,Trial,,1,S,SH,sort_short_003.mp3
