Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
636,1589728322952,17/05/2020 15:12:02,1589728326360,-4,17/05/2020 11:12:06,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,271,206,1,stimulus,fixation,fixation,998.8889999999665,,,,0,1,0,,,,,2,Trial,,1,K,T,top_cop_009.mp3
637,1589728325954,17/05/2020 15:12:05,1589728326959,-4,17/05/2020 11:12:06,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,271,206,2,response,Zone2,response_keyboard_single,502.9350002296269,,K,1,0,1,0,,,,,2,Trial,,1,K,T,top_cop_009.mp3
638,1589728326139,17/05/2020 15:12:06,1589728327939,-4,17/05/2020 11:12:07,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,271,206,3,Screen 1,fixation,fixation,999.6620000000112,,,,0,1,0,,,,,2,Trial,,1,K,T,top_cop_009.mp3
639,1589728326139,17/05/2020 15:12:06,1589728328944,-4,17/05/2020 11:12:08,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,241,207,1,stimulus,fixation,fixation,999.2870000000112,,,,0,1,0,,,,,2,Trial,,1,K,T,tea_key_003.mp3
640,1589728326358,17/05/2020 15:12:06,1589728329726,-4,17/05/2020 11:12:09,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,241,207,2,response,Zone3,response_keyboard_single,609.7099999897182,,T,1,0,1,0,,,,,2,Trial,,1,K,T,tea_key_003.mp3
641,1589728327283,17/05/2020 15:12:07,1589728330720,-4,17/05/2020 11:12:10,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,241,207,3,Screen 1,fixation,fixation,998.5570000000298,,,,0,1,0,,,,,2,Trial,,1,K,T,tea_key_003.mp3
642,1589728328297,17/05/2020 15:12:08,1589728331782,-4,17/05/2020 11:12:11,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,198,208,1,stimulus,fixation,fixation,1048.390000000014,,,,0,1,0,,,,,2,Trial,,1,K,T,tan_can_009.mp3
643,1589728328861,17/05/2020 15:12:08,1589728332347,-4,17/05/2020 11:12:12,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,198,208,2,response,Zone2,response_keyboard_single,442.29500042274594,,K,1,0,1,0,,,,,2,Trial,,1,K,T,tan_can_009.mp3
644,1589728329893,17/05/2020 15:12:09,1589728333323,-4,17/05/2020 11:12:13,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,198,208,3,Screen 1,fixation,fixation,999.2999999999884,,,,0,1,0,,,,,2,Trial,,1,K,T,tan_can_009.mp3
645,1589728330861,17/05/2020 15:12:10,1589728334316,-4,17/05/2020 11:12:14,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,288,209,1,stimulus,fixation,fixation,999.1529999999912,,,,0,1,0,,,,,2,Trial,,1,K,T,tub_cub_009.mp3
