Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
215,1589578617461,15/05/2020 21:36:57,1589578616384,-7,15/05/2020 14:36:56,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,65,71,2,response,Zone2,response_keyboard_single,976.4650000724941,,L,1,0,1,0,,,,,1,Trial,,1,L,R,limb_rim_006.mp3
216,1589578618336,15/05/2020 21:36:58,1589578617382,-7,15/05/2020 14:36:57,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,65,71,3,Screen 1,fixation,fixation,999.9470000000147,,,,0,1,0,,,,,1,Trial,,1,L,R,limb_rim_006.mp3
217,1589578619258,15/05/2020 21:36:59,1589578618281,-7,15/05/2020 14:36:58,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,106,72,1,stimulus,Zone1,content_audio,888.7499999254942,,,,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_008.mp3
218,1589578619524,15/05/2020 21:36:59,1589578618568,-7,15/05/2020 14:36:58,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,106,72,2,response,Zone3,response_keyboard_single,281.4699999289587,,R,1,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_008.mp3
219,1589578620523,15/05/2020 21:37:00,1589578619565,-7,15/05/2020 14:36:59,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,106,72,3,Screen 1,fixation,fixation,999.984999999986,,,,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_008.mp3
220,1589578621367,15/05/2020 21:37:01,1589578620421,-7,15/05/2020 14:37:00,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,143,73,1,stimulus,Zone1,content_audio,843.9200000138953,,,,0,1,0,,,,,1,Trial,,1,L,R,low_row_009.mp3
221,1589578621633,15/05/2020 21:37:01,1589578620684,-7,15/05/2020 14:37:00,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,143,73,2,response,Zone3,response_keyboard_single,256.8400000454858,,R,1,0,1,0,,,,,1,Trial,,1,L,R,low_row_009.mp3
222,1589578622775,15/05/2020 21:37:02,1589578621682,-7,15/05/2020 14:37:01,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,143,73,3,Screen 1,fixation,fixation,1000.002999999997,,,,0,1,0,,,,,1,Trial,,1,L,R,low_row_009.mp3
223,1589578623601,15/05/2020 21:37:03,1589578622642,-7,15/05/2020 14:37:02,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,6,74,1,stimulus,Zone1,content_audio,947.234999970533,,,,0,1,0,,,,,1,Trial,,1,L,R,lace_race_003.mp3
224,1589578625273,15/05/2020 21:37:05,1589578624323,-7,15/05/2020 14:37:04,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,6,74,2,response,Zone2,response_keyboard_single,1675.6000000750646,,L,1,0,1,0,,,,,1,Trial,,1,L,R,lace_race_003.mp3
