Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
25,1589830152394,18/05/2020 19:29:12,1589830151403,-6,18/05/2020 13:29:11,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,20,7,3,Screen 1,fixation,fixation,1000.9799999999959,,,,0,1,0,,,,,1,Trial,,1,K,T,tale_kale_010.mp3
26,1589830153146,18/05/2020 19:29:13,1589830152157,-6,18/05/2020 13:29:12,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,137,8,1,stimulus,Zone1,content_audio,721.9999999942956,,,,0,1,0,,,,,1,Trial,,1,K,T,tub_cub_006.mp3
27,1589830153677,18/05/2020 19:29:13,1589830152680,-6,18/05/2020 13:29:12,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,137,8,2,response,Zone3,response_keyboard_single,500,,T,1,0,1,0,,,,,1,Trial,,1,K,T,tub_cub_006.mp3
28,1589830154668,18/05/2020 19:29:14,1589830153672,-6,18/05/2020 13:29:13,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,137,8,3,Screen 1,fixation,fixation,1000.9800000000032,,,,0,1,0,,,,,1,Trial,,1,K,T,tub_cub_006.mp3
29,1589830155500,18/05/2020 19:29:15,1589830154515,-6,18/05/2020 13:29:14,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,117,9,1,stimulus,Zone1,content_audio,809.0000000083819,,,,0,1,0,,,,,1,Trial,,1,K,T,top_cop_005.mp3
30,1589830156032,18/05/2020 19:29:16,1589830155008,-6,18/05/2020 13:29:15,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,117,9,2,response,Zone3,response_keyboard_single,467.99999999348074,,T,1,0,1,0,,,,,1,Trial,,1,K,T,top_cop_005.mp3
31,1589830157000,18/05/2020 19:29:17,1589830156007,-6,18/05/2020 13:29:16,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,117,9,3,Screen 1,fixation,fixation,1000.9799999999959,,,,0,1,0,,,,,1,Trial,,1,K,T,top_cop_005.mp3
32,1589830157860,18/05/2020 19:29:17,1589830156855,-6,18/05/2020 13:29:16,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,93,10,1,stimulus,Zone1,content_audio,808.0000000045402,,,,0,1,0,,,,,1,Trial,,1,K,T,tea_key_002.mp3
33,1589830158329,18/05/2020 19:29:18,1589830157332,-6,18/05/2020 13:29:17,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,93,10,2,response,Zone3,response_keyboard_single,455.00000000174623,,T,1,0,1,0,,,,,1,Trial,,1,K,T,tea_key_002.mp3
34,1589830159315,18/05/2020 19:29:19,1589830158327,-6,18/05/2020 13:29:18,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,93,10,3,Screen 1,fixation,fixation,1000.9800000000105,,,,0,1,0,,,,,1,Trial,,1,K,T,tea_key_002.mp3
