Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
21,1593629670693,01/07/2020 18:54:30,1593629669949,-4,01/07/2020 14:54:29,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,123,6,2,response,Zone3,response_keyboard_single,727.2950000187848,,,s,1,0,1,0,,,,,1,Trial,,1,sh,s,catalogue_sort_short_003.mp3,catalogue,sort,short,3,-2,s-sh
22,1593629671680,01/07/2020 18:54:31,1593629670944,-4,01/07/2020 14:54:30,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,123,6,3,Screen 1,fixation,fixation,999.9700000000012,,,,,0,1,0,,,,,1,Trial,,1,sh,s,catalogue_sort_short_003.mp3,catalogue,sort,short,3,-2,s-sh
23,1593629673355,01/07/2020 18:54:33,1593629672616,-4,01/07/2020 14:54:32,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,103,7,1,stimulus,Zone1,content_audio,1663.9399999985471,,,,,0,1,0,,,,,1,Trial,,1,sh,s,maniac_sip_ship_004.mp3,maniac,sip,ship,4,-2,s-sh
24,1593629674188,01/07/2020 18:54:34,1593629673429,-4,01/07/2020 14:54:33,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,103,7,2,response,Zone3,response_keyboard_single,801.5099999902304,,,s,1,0,1,0,,,,,1,Trial,,1,sh,s,maniac_sip_ship_004.mp3,maniac,sip,ship,4,-2,s-sh
25,1593629675180,01/07/2020 18:54:35,1593629674428,-4,01/07/2020 14:54:34,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,103,7,3,Screen 1,fixation,fixation,1000.5279999999912,,,,,0,1,0,,,,,1,Trial,,1,sh,s,maniac_sip_ship_004.mp3,maniac,sip,ship,4,-2,s-sh
26,1593629676852,01/07/2020 18:54:36,1593629676094,-4,01/07/2020 14:54:36,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,55,8,1,stimulus,Zone1,content_audio,1655.1499999768566,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sell_shell_008.mp3,pocketful,sell,shell,8,0,s-sh
27,1593629677479,01/07/2020 18:54:37,1593629676730,-4,01/07/2020 14:54:36,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,55,8,2,response,Zone2,response_keyboard_single,629.255000007106,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sell_shell_008.mp3,pocketful,sell,shell,8,0,s-sh
28,1593629678479,01/07/2020 18:54:38,1593629677728,-4,01/07/2020 14:54:37,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,55,8,3,Screen 1,fixation,fixation,999.9919999999984,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sell_shell_008.mp3,pocketful,sell,shell,8,0,s-sh
29,1593629680071,01/07/2020 18:54:40,1593629679316,-4,01/07/2020 14:54:39,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,147,9,1,stimulus,Zone1,content_audio,1576.4749999798369,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sort_short_007.mp3,pocketful,sort,short,7,2,s-sh
30,1593629680447,01/07/2020 18:54:40,1593629679709,-4,01/07/2020 14:54:39,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,147,9,2,response,Zone2,response_keyboard_single,381.76499999826774,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sort_short_007.mp3,pocketful,sort,short,7,2,s-sh
31,1593629681497,01/07/2020 18:54:41,1593629680694,-4,01/07/2020 14:54:40,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,147,9,3,Screen 1,fixation,fixation,1000.1959999999963,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_sort_short_007.mp3,pocketful,sort,short,7,2,s-sh
