Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
947,1593629814158,01/07/2020 18:56:54,1593629814069,-5,01/07/2020 13:56:54,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,404,314,1,stimulus,Zone1,content_audio,1843.2749999992084,,,,,0,1,0,,,,,3,Trial,,1,r,l,demolish_lip_rip_008.mp3,demolish,lip,rip,8,2,l-r
948,1593629814330,01/07/2020 18:56:54,1593629814242,-5,01/07/2020 13:56:54,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,404,314,2,response,Zone2,response_keyboard_single,160.8150000027381,,,r,1,0,1,0,,,,,3,Trial,,1,r,l,demolish_lip_rip_008.mp3,demolish,lip,rip,8,2,l-r
949,1593629815330,01/07/2020 18:56:55,1593629815228,-5,01/07/2020 13:56:55,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,404,314,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,demolish_lip_rip_008.mp3,demolish,lip,rip,8,2,l-r
950,1593629817191,01/07/2020 18:56:57,1593629817065,-5,01/07/2020 13:56:57,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,376,315,1,stimulus,Zone1,content_audio,1821.3550000002142,,,,,0,1,0,,,,,3,Trial,,1,r,l,overboard_lie_rye_004.mp3,overboard,lie,rye,4,-1,l-r
951,1593629817347,01/07/2020 18:56:57,1593629817186,-5,01/07/2020 13:56:57,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,376,315,2,response,Zone3,response_keyboard_single,110.6599999985192,,,l,1,0,1,0,,,,,3,Trial,,1,r,l,overboard_lie_rye_004.mp3,overboard,lie,rye,4,-1,l-r
952,1593629818269,01/07/2020 18:56:58,1593629818177,-5,01/07/2020 13:56:58,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,376,315,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,overboard_lie_rye_004.mp3,overboard,lie,rye,4,-1,l-r
953,1593629819983,01/07/2020 18:56:59,1593629819898,-5,01/07/2020 13:56:59,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,305,316,1,stimulus,Zone1,content_audio,1705.9799999988172,,,,,0,1,0,,,,,3,Trial,,1,r,l,abolish_lake_rake_003.mp3,abolish,lake,rake,3,-2,l-r
954,1593629820342,01/07/2020 18:57:00,1593629820264,-5,01/07/2020 13:57:00,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,305,316,2,response,Zone3,response_keyboard_single,354.51999999349937,,,l,1,0,1,0,,,,,3,Trial,,1,r,l,abolish_lake_rake_003.mp3,abolish,lake,rake,3,-2,l-r
955,1593629821343,01/07/2020 18:57:01,1593629821260,-5,01/07/2020 13:57:01,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,305,316,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,abolish_lake_rake_003.mp3,abolish,lake,rake,3,-2,l-r
956,1593629823007,01/07/2020 18:57:03,1593629822916,-5,01/07/2020 13:57:02,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,316,317,1,stimulus,Zone1,content_audio,1638.4749999998603,,,,,0,1,0,,,,,3,Trial,,1,r,l,dangerous_lake_rake_004.mp3,dangerous,lake,rake,4,-1,l-r
