Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
1508,1593631560644,01/07/2020 19:26:00,1593631560592,-4,01/07/2020 15:26:00,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,561,501,1,stimulus,fixation,fixation,2001,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,universe_tape_cape_005.mp3,universe,tape,cape,5,-2,t-k
1509,1593631562863,01/07/2020 19:26:02,1593631562428,-4,01/07/2020 15:26:02,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,561,501,2,response,Zone2,response_keyboard_single,1829,,,T sound,1,0,1,0,,,,,4,Trial,,1,T sound,K sound,universe_tape_cape_005.mp3,universe,tape,cape,5,-2,t-k
1510,1593631563472,01/07/2020 19:26:03,1593631563422,-4,01/07/2020 15:26:03,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,561,501,3,Screen 1,fixation,fixation,999,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,universe_tape_cape_005.mp3,universe,tape,cape,5,-2,t-k
1511,1593631565488,01/07/2020 19:26:05,1593631565427,-4,01/07/2020 15:26:05,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,516,502,1,stimulus,fixation,fixation,2003,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tan_can_004.mp3,demolish,tan,can,4,-2,t-k
1512,1593631567645,01/07/2020 19:26:07,1593631567592,-4,01/07/2020 15:26:07,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,516,502,2,response,Zone2,response_keyboard_single,2158,,,T sound,1,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tan_can_004.mp3,demolish,tan,can,4,-2,t-k
1513,1593631568644,01/07/2020 19:26:08,1593631568592,-4,01/07/2020 15:26:08,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,516,502,3,Screen 1,fixation,fixation,1001,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tan_can_004.mp3,demolish,tan,can,4,-2,t-k
1514,1593631570649,01/07/2020 19:26:10,1593631570595,-4,01/07/2020 15:26:10,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,559,503,1,stimulus,fixation,fixation,2001,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,questionnaire_tape_cape_008.mp3,questionnaire,tape,cape,8,1,t-k
1515,1593631571275,01/07/2020 19:26:11,1593631571224,-4,01/07/2020 15:26:11,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,559,503,2,response,Zone3,response_keyboard_single,621,,,K sound,1,0,1,0,,,,,4,Trial,,1,T sound,K sound,questionnaire_tape_cape_008.mp3,questionnaire,tape,cape,8,1,t-k
1516,1593631572244,01/07/2020 19:26:12,1593631572210,-4,01/07/2020 15:26:12,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,559,503,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,questionnaire_tape_cape_008.mp3,questionnaire,tape,cape,8,1,t-k
1517,1593631574172,01/07/2020 19:26:14,1593631574120,-4,01/07/2020 15:26:14,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,640,504,1,stimulus,Zone1,content_audio,1896,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tub_cub_009.mp3,demolish,tub,cub,9,2,t-k
1518,1593631574704,01/07/2020 19:26:14,1593631574568,-4,01/07/2020 15:26:14,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,640,504,2,response,Zone2,response_keyboard_single,441,,,T sound,1,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tub_cub_009.mp3,demolish,tub,cub,9,2,t-k
1519,1593631575626,01/07/2020 19:26:15,1593631575562,-4,01/07/2020 15:26:15,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,640,504,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tub_cub_009.mp3,demolish,tub,cub,9,2,t-k
1520,1593631577611,01/07/2020 19:26:17,1593631577557,-4,01/07/2020 15:26:17,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,518,505,1,stimulus,Zone1,content_audio,1980.0000000002328,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tan_can_006.mp3,demolish,tan,can,6,0,t-k
1521,1593631580333,01/07/2020 19:26:20,1593631580288,-4,01/07/2020 15:26:20,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,518,505,2,response,Zone2,response_keyboard_single,2724.000000000233,,,T sound,1,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tan_can_006.mp3,demolish,tan,can,6,0,t-k
1522,1593631581333,01/07/2020 19:26:21,1593631581280,-4,01/07/2020 15:26:21,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,518,505,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_tan_can_006.mp3,demolish,tan,can,6,0,t-k
1523,1593631583340,01/07/2020 19:26:23,1593631583283,-4,01/07/2020 15:26:23,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,610,506,1,stimulus,fixation,fixation,2000,,,,,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_top_cop_008.mp3,demolish,top,cop,8,2,t-k
1524,1593631585219,01/07/2020 19:26:25,1593631585162,-4,01/07/2020 15:26:25,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,610,506,2,response,Zone2,response_keyboard_single,1872.0000000002328,,,T sound,1,0,1,0,,,,,4,Trial,,1,T sound,K sound,demolish_top_cop_008.mp3,demolish,top,cop,8,2,t-k
