Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
3,1593639580122,01/07/2020 21:39:40,1593639578930,-5,01/07/2020 16:39:38,21059,7,questionnaire-t1fh,,5861665,5ee902adb236780f670f083b,1649856,,complete,,5efd027eced43613da8f806c,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent-quantised,1
4,1593639580122,01/07/2020 21:39:40,1593639578931,-5,01/07/2020 16:39:38,21059,7,questionnaire-t1fh,,5861665,5ee902adb236780f670f083b,1649856,,complete,,5efd027eced43613da8f806c,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,END QUESTIONNAIRE,13655
1,1593639679033,01/07/2020 21:41:19,1593639678878,-5,01/07/2020 16:41:18,21059,7,questionnaire-t1fh,,5861695,5b7332e8fd718d00013d0655,1649866,,complete,,5efd02f37d58671347f07997,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1244x658,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,BEGIN QUESTIONNAIRE,
2,1593639762141,01/07/2020 21:42:42,1593639762042,-5,01/07/2020 16:42:42,21059,7,questionnaire-t1fh,,5861695,5b7332e8fd718d00013d0655,1649866,,complete,,5efd02f37d58671347f07997,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1244x658,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent,Yes
3,1593639762314,01/07/2020 21:42:42,1593639762043,-5,01/07/2020 16:42:42,21059,7,questionnaire-t1fh,,5861695,5b7332e8fd718d00013d0655,1649866,,complete,,5efd02f37d58671347f07997,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1244x658,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent-quantised,1
4,1593639762314,01/07/2020 21:42:42,1593639762043,-5,01/07/2020 16:42:42,21059,7,questionnaire-t1fh,,5861695,5b7332e8fd718d00013d0655,1649866,,complete,,5efd02f37d58671347f07997,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.1,1280x800,1244x658,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,END QUESTIONNAIRE,83165
1,1593639806660,01/07/2020 21:43:26,1593639806567,-7,01/07/2020 14:43:26,21059,7,questionnaire-t1fh,,5861711,5ef0f81ea26aaf0af68a54a0,1649870,,complete,,5efd0370ad8de4138934acce,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1366x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1593639831868,01/07/2020 21:43:51,1593639831828,-7,01/07/2020 14:43:51,21059,7,questionnaire-t1fh,,5861711,5ef0f81ea26aaf0af68a54a0,1649870,,complete,,5efd0370ad8de4138934acce,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent,Yes
3,1593639832056,01/07/2020 21:43:52,1593639831834,-7,01/07/2020 14:43:51,21059,7,questionnaire-t1fh,,5861711,5ef0f81ea26aaf0af68a54a0,1649870,,complete,,5efd0370ad8de4138934acce,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent-quantised,1
4,1593639832056,01/07/2020 21:43:52,1593639831835,-7,01/07/2020 14:43:51,21059,7,questionnaire-t1fh,,5861711,5ef0f81ea26aaf0af68a54a0,1649870,,complete,,5efd0370ad8de4138934acce,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1366x768,1349x657,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,25268
