Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
5,1589727374248,17/05/2020 14:56:14,1589727373076,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,response-ethnicity-2,Not Hispanic or Latino
6,1589727374248,17/05/2020 14:56:14,1589727373076,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,response-race-5,White
7,1589727374248,17/05/2020 14:56:14,1589727373076,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,response-handedness,Right-handed
8,1589727374248,17/05/2020 14:56:14,1589727373076,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,response-handedness-quantised,1
9,1589727374248,17/05/2020 14:56:14,1589727373076,-5,17/05/2020 09:56:13,17840,4,questionnaire-d7os,,4988985,5eb376d17bd18016d012b29b,1415013,,complete,,5ec14f506af68040a0d4748a,computer,Desktop or Laptop,Chromium OS 12871.91.0,Chrome 81.0.4044.127,1536x864,1536x762,Pass,Demographics-Handedness,2,Yes,Fail,Pass,Pass,,Order4,END QUESTIONNAIRE,14589
1,1589727435718,17/05/2020 14:57:15,1589727439156,-4,17/05/2020 10:57:19,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1589727458982,17/05/2020 14:57:38,1589727461695,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-7,Do not know
3,1589727459170,17/05/2020 14:57:39,1589727461779,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-accent-text,
4,1589727459170,17/05/2020 14:57:39,1589727461781,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-sex-1,Female
5,1589727459170,17/05/2020 14:57:39,1589727461789,-4,17/05/2020 10:57:41,17840,4,questionnaire-d7os,,4988994,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1349x625,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,response-ethnicity-1,Hispanic or Latino
